# typeId\tenName\tzhName
23784	'Abatis' 100mm Steel Plates I Blueprint	铁网100mm钢附甲板蓝图 I
22330	'Alpha' Data Analyzer I Blueprint	阿尔法数据分析仪蓝图 I
23845	'Arquebus' Heavy Beam Laser I Blueprint	火枪重型集束激光器蓝图 I
77402	'Atgeir' Explosive Disruptive Lance Blueprint	“长戟”爆炸干扰长枪蓝图
28265	'Augmented' Acolyte Blueprint	加强型侍僧蓝图
28269	'Augmented' Berserker Blueprint	加强型狂战士蓝图
28273	'Augmented' Hammerhead Blueprint	加强型战锤蓝图
28277	'Augmented' Hobgoblin Blueprint	加强型地精灵蓝图
28281	'Augmented' Hornet Blueprint	加强型大黄蜂蓝图
43913	'Augmented' Ice Harvesting Drone Blueprint	强化冰矿采集无人机蓝图
28285	'Augmented' Infiltrator Blueprint	加强型渗透者蓝图
43914	'Augmented' Mining Drone Blueprint	加强型采矿无人机蓝图
28289	'Augmented' Ogre Blueprint	加强型蛮妖蓝图
28293	'Augmented' Praetor Blueprint	加强型执政官蓝图
28297	'Augmented' Valkyrie Blueprint	加强型瓦尔基里蓝图
28301	'Augmented' Vespa Blueprint	加强型金星蓝图
28305	'Augmented' Warrior Blueprint	加强型武士蓝图
28309	'Augmented' Wasp Blueprint	加强型胡蜂蓝图
22876	'Aura' Warp Core Stabilizer I Blueprint	圣光跃迁核心稳定器蓝图 I
24555	'Aurora Ominae' Thermal Doomsday Blueprint	'极光之仪'热能末日武器蓝图
77403	'Azmaru' Electromagnetic Disruptive Lance Blueprint	“阿兹玛鲁”电磁干扰长枪蓝图
23786	'Bailey' 1600mm Steel Plates Blueprint	壁垒1600mm钢附甲板蓝图
20594	'Balefire' Rocket Launcher Blueprint	烽火火箭发射器蓝图
23851	'Ballista' Tachyon Beam Laser I Blueprint	弩炮超光速粒子集束激光器蓝图 I
23794	'Barbican' 800mm Steel Plates Blueprint	碉楼800mm钢附甲板蓝图
20604	'Barrage' Torpedo Launcher Blueprint	雷暴鱼雷发射器蓝图
11216	'Basic' EM Energized Membrane Blueprint	基础型电磁电压薄膜蓝图
11226	'Basic' Explosive Energized Membrane Blueprint	基础型爆炸电压薄膜蓝图
11246	'Basic' Kinetic Energized Membrane Blueprint	基础型动能电压薄膜蓝图
11236	'Basic' Layered Energized Membrane Blueprint	基础型覆层电压薄膜蓝图
11266	'Basic' Multispectrum Energized Membrane Blueprint	基础型多谱式电压薄膜蓝图
11256	'Basic' Thermal Energized Membrane Blueprint	基础型热能电压薄膜蓝图
23790	'Bastion' 400mm Steel Plates Blueprint	堡垒400mm钢附甲板蓝图
22948	'Beatnik' Small Remote Armor Repairer Blueprint	比特尼克小型远程装甲维修器蓝图
84501	'Blasting' Large Graviton Smartbomb Blueprint	爆破大型引力子立体炸弹蓝图
84504	'Boiling' Medium Plasma Smartbomb Blueprint	沸腾中型等离子立体炸弹蓝图
84503	'Booming' Medium Graviton Smartbomb Blueprint	蓬勃中型引力子立体炸弹蓝图
22926	'Bootleg' Remote Sensor Booster Blueprint	私货远程感应增强器蓝图
22940	'Boss' Remote Sensor Booster I Blueprint	波士远程感应增强器蓝图 I
55863	'Bribe' Explosive Energized Membrane Blueprint	'诱惑'爆炸电压薄膜蓝图
22944	'Broker' Remote Sensor Dampener I Blueprint	经纪人远程感应抑阻器蓝图 I
23415	'Brotherhood' Small Remote Armor Repairer Blueprint	兄弟小型远程装甲维修器蓝图
20610	'Cactus' Kinetic Shield Amplifier Blueprint	“仙人球”动能护盾增效器蓝图
22918	'Capitalist' Magnetic Field Stabilizer I Blueprint	资本磁性力场稳定器蓝图 I
22954	'Cartel' Power Diagnostic System I Blueprint	卡特尔能源诊断系统蓝图 I
23849	'Catapult' Mega Beam Laser I Blueprint	投石车超级集束激光器蓝图 I
23804	'Censer' Medium Cap Battery Blueprint	焚炉中型电容器电池蓝图
23788	'Chainmail' 200mm Steel Plates Blueprint	锁甲200mm钢附甲板蓝图
23857	'Chivalry' Large Remote Capacitor Transmitter Blueprint	骑士大型远程电容传输装置蓝图
23792	'Citadella' 100mm Steel Plates Blueprint	要塞100mm钢附甲板蓝图
22328	'Codex' Data Analyzer I Blueprint	法典数据分析仪蓝图 I
41449	'Cold Wind' Kinetic Reaper Blueprint	"寒风"动能收割者蓝图
22900	'Corporate' Light Electron Blaster I Blueprint	集团轻型电子疾速炮蓝图 I
25541	'Crop' Gas Cloud Scoop Blueprint	丰收气云回收装置蓝图
23841	'Crossbow' Focused Medium Beam Laser I Blueprint	石弓聚焦集束激光器蓝图 I
23802	'Crucible' Small Cap Battery Blueprint	熔炉小型电容器电池蓝图
22326	'Daemon' Data Analyzer I Blueprint	守护者数据分析仪蓝图 I
22902	'Dealer' Light Ion Blaster I Blueprint	商人轻型离子疾速炮蓝图 I
21535	'Degenerative' Small Proton Smartbomb Blueprint	衰震小型质子立体炸弹蓝图
